device,query_set_size,k,params,latency,recall
apu,10,10,-1,0.037396907806396484,0.33
apu,10,50,-1,0.047663211822509766,0.304
apu,10,100,-1,0.04534578323364258,0.332
apu,100,10,-1,0.18438124656677246,0.347
apu,100,50,-1,0.20777511596679688,0.3642
apu,100,100,-1,0.23891282081604004,0.3674
apu,1000,10,-1,1.54107666015625,0.3404
apu,1000,50,-1,1.7249691486358643,0.36088
apu,1000,100,-1,2.022871732711792,0.37292
cpu,10,10,1,0.11461853981018066,0.31
cpu,10,10,2,0.11202263832092285,0.45
cpu,10,10,4,0.11315250396728516,0.69
cpu,10,10,16,0.1119389533996582,0.55
cpu,10,10,32,0.0985865592956543,0.89
cpu,10,10,64,0.40007567405700684,0.99
cpu,10,10,128,0.2558627128601074,0.99
cpu,10,10,256,0.1818242073059082,0.99
cpu,10,50,1,0.07102203369140625,0.304
cpu,10,50,2,0.0706930160522461,0.406
cpu,10,50,4,0.07222676277160645,0.642
cpu,10,50,16,0.06895804405212402,0.518
cpu,10,50,32,0.0756537914276123,0.862
cpu,10,50,64,0.37929677963256836,0.99
cpu,10,50,128,0.2420661449432373,0.99
cpu,10,50,256,0.11064696311950684,0.986
cpu,10,100,1,0.06056070327758789,0.274
cpu,10,100,2,0.05994415283203125,0.371
cpu,10,100,4,0.06285715103149414,0.617
cpu,10,100,16,0.0767982006072998,0.495
cpu,10,100,32,0.06918120384216309,0.836
cpu,10,100,64,0.3734285831451416,0.984
cpu,10,100,128,0.2601594924926758,0.984
cpu,10,100,256,0.10842442512512207,0.98
cpu,100,10,1,0.47802734375,0.361
cpu,100,10,2,0.634005069732666,0.456
cpu,100,10,4,0.6674702167510986,0.682
cpu,100,10,16,0.5231187343597412,0.558
cpu,100,10,32,0.5623207092285156,0.879
cpu,100,10,64,1.5540025234222412,0.988
cpu,100,10,128,1.2230265140533447,0.987
cpu,100,10,256,0.6001706123352051,0.977
cpu,100,50,1,0.5507400035858154,0.2894
cpu,100,50,2,0.4973301887512207,0.3904
cpu,100,50,4,0.7303628921508789,0.6214
cpu,100,50,16,0.5225679874420166,0.5028
cpu,100,50,32,0.5164098739624023,0.8326
cpu,100,50,64,1.3776328563690186,0.9862
cpu,100,50,128,0.9865524768829346,0.9844
cpu,100,50,256,0.6044881343841553,0.9688
cpu,100,100,1,0.4219191074371338,0.2604
cpu,100,100,2,0.40277981758117676,0.3535
cpu,100,100,4,0.41614484786987305,0.5856
cpu,100,100,16,0.5341556072235107,0.4662
cpu,100,100,32,0.5097270011901855,0.8071
cpu,100,100,64,1.4132299423217773,0.9856
cpu,100,100,128,0.8932549953460693,0.9833
cpu,100,100,256,0.46716761589050293,0.9641
cpu,1000,10,1,0.956002950668335,0.3492
cpu,1000,10,2,1.0759897232055664,0.4671
cpu,1000,10,4,1.1820218563079834,0.6997
cpu,1000,10,16,0.9851377010345459,0.5844
cpu,1000,10,32,1.1984119415283203,0.8722
cpu,1000,10,64,11.197287559509277,0.9796
cpu,1000,10,128,6.215895891189575,0.9776
cpu,1000,10,256,2.17502498626709,0.967
cpu,1000,50,1,1.1972570419311523,0.29152
cpu,1000,50,2,1.183488130569458,0.39808
cpu,1000,50,4,1.2491533756256104,0.6358
cpu,1000,50,16,1.2527048587799072,0.51718
cpu,1000,50,32,1.4142918586730957,0.83258
cpu,1000,50,64,11.183286666870117,0.98306
cpu,1000,50,128,6.161532402038574,0.98086
cpu,1000,50,256,2.270761489868164,0.96368
cpu,1000,100,1,0.9304678440093994,0.26533
cpu,1000,100,2,0.994455099105835,0.36732
cpu,1000,100,4,1.0257163047790527,0.60388
cpu,1000,100,16,1.1849749088287354,0.48404
cpu,1000,100,32,1.4003674983978271,0.8126
cpu,1000,100,64,10.891979694366455,0.98544
cpu,1000,100,128,6.08344841003418,0.98287
cpu,1000,100,256,2.2398619651794434,0.96191
gpu,10,10,1,0.06260967254638672,0.31
gpu,10,10,2,0.06228995323181152,0.45
gpu,10,10,4,0.1138613224029541,0.69
gpu,10,10,16,0.06288456916809082,0.55
gpu,10,10,32,0.0706942081451416,0.89
gpu,10,10,64,0.38889455795288086,0.99
gpu,10,10,128,0.24215459823608398,0.99
gpu,10,10,256,0.11178374290466309,0.99
gpu,10,50,1,0.0616765022277832,0.304
gpu,10,50,2,0.06170153617858887,0.406
