device,query_set_size,k,params,latency,recall
apu,1,10,-1,0.008799552917480469,0.3
apu,10,10,-1,0.029911041259765625,0.32
apu,100,10,-1,0.14898419380187988,0.342
apu,1000,10,-1,1.2232940196990967,0.3386
gpu,1,10,1,0.008039236068725586,0.3
gpu,1,10,2,0.006944894790649414,0.3
gpu,1,10,4,0.007455348968505859,0.6
gpu,1,10,16,0.006643056869506836,0.4
gpu,1,10,32,0.008440971374511719,0.8
gpu,10,10,1,0.019705533981323242,0.31
gpu,10,10,2,0.0072765350341796875,0.45
gpu,10,10,4,0.018859386444091797,0.69
gpu,10,10,16,0.013886213302612305,0.55
gpu,10,10,32,0.020331382751464844,0.89
gpu,100,10,1,0.01594996452331543,0.361
gpu,100,10,2,0.016862869262695312,0.456
gpu,100,10,4,0.021968603134155273,0.682
gpu,100,10,16,0.011566162109375,0.558
gpu,100,10,32,0.05457258224487305,0.879
gpu,1000,10,1,0.05214190483093262,0.3492
gpu,1000,10,2,0.05238652229309082,0.4671
gpu,1000,10,4,0.11199617385864258,0.6997
gpu,1000,10,16,0.05986189842224121,0.5844
gpu,1000,10,32,0.2647273540496826,0.8722
cpu,1,10,1,0.06789231300354004,0.3
cpu,1,10,2,0.06932973861694336,0.3
cpu,1,10,4,0.06985330581665039,0.6
cpu,1,10,16,0.0694878101348877,0.4
cpu,1,10,32,0.07088375091552734,0.8
cpu,10,10,1,0.06078028678894043,0.31
cpu,10,10,2,0.06901049613952637,0.45
cpu,10,10,4,0.07052826881408691,0.69
cpu,10,10,16,0.06553030014038086,0.55
cpu,10,10,32,0.06762981414794922,0.89
cpu,100,10,1,0.6298401355743408,0.361
cpu,100,10,2,0.6663310527801514,0.456
cpu,100,10,4,0.578101634979248,0.682
cpu,100,10,16,0.5209503173828125,0.558
cpu,100,10,32,0.6279175281524658,0.879
cpu,1000,10,1,1.128147840499878,0.3492
cpu,1000,10,2,1.0412225723266602,0.4671
cpu,1000,10,4,1.3612806797027588,0.6997
cpu,1000,10,16,1.2746660709381104,0.5844
cpu,1000,10,32,1.696476697921753,0.8722
